Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= 8000
          39         105  -2.623788991490106E-008 1.018171070258246E-023 
          39         106  -2.425208120517576E-008 -1.070422100970313E-023 
          39         107  -3.290052670194609E-008 -2.527551374029299E-023 
          39         108  -5.314446667168461E-008 -9.982213735755424E-024 
          40          37  2.924750480232637E-003 6.058002570383581E-018 
          40          38  8.144790373967861E-003 -1.100082812871646E-017 
          40          39  -0.110041236587036 -3.317482971016705E-017 
          40          40  0.562946573113753 -6.559895433804012E-017 
          40          41  -0.110087290196947 -4.986562130566329E-017 
          40          42  8.166413863352050E-003 1.150911956002661E-017 
          40          43  -4.373301671765952E-003 5.756731992403518E-019 
          40          44  1.433657071206077E-002 -2.256265153376396E-018 
          40          45  -0.104018910561123 -1.994811290142671E-017 
          40          46  -0.103309552845631 2.153576985106156E-018 
          40          47  1.421055603079754E-002 5.654436105208770E-018 
          40          48  -4.371643141973219E-003 -1.275519171668592E-017 
          40          49  -4.199546124630624E-003 4.911325739782272E-018 
          40          50  6.886481890436140E-003 1.456931918304503E-018 
          40          51  1.130777154623174E-002 -1.541636063131454E-018 
          40          52  6.666827863857743E-003 -1.940718659087589E-018 
          40          53  -4.104739741294774E-003 -7.899559056360485E-019 
          40          54  1.609667422877346E-004 2.112103210378656E-018 
          40          55  -9.870772016348092E-004 1.155165064978847E-019 
          40          56  -2.281963701960845E-003 -2.437815149358533E-019 
          40          57  -2.193890036914171E-003 3.849211831334738E-019 
          40          58  -9.057695921343569E-004 3.957789179443750E-019 
          40          59  4.880939307351526E-004 -1.544447545404121E-019 
          40          60  4.827845000611805E-004 -6.030246513599941E-019 
          40          61  2.525472844558177E-004 1.910504059026516E-019 
          40          62  1.299943818104698E-004 -3.737344581969343E-020 
          40          63  2.518539147449488E-004 8.978226764798994E-020 
          40          64  7.589644490156800E-005 -8.711805651202238E-020 
          40          65  -3.445448429163486E-004 1.615231523054449E-021 
          40          66  9.998274009881628E-005 1.057305702550029E-019 
          40          67  -1.541256510492895E-004 -2.513596557736206E-020 
          40          68  -1.442054586280374E-004 3.689649838037259E-020 
          40          69  -1.026208769721355E-004 1.213491740239776E-020 
          40          70  5.005400014373696E-005 5.993963700059480E-020 
          40          71  4.425740923244336E-005 1.542601678345543E-020 
          40          72  -1.013352019004067E-004 3.859293262934234E-020 
          40          73  3.266405690117903E-005 4.609312743038633E-021 
          40          74  3.641320242771532E-005 -6.811240649668956E-022 
          40          75  9.522533309452070E-006 9.763933721797898E-021 
          40          76  -2.550150844652612E-005 1.121865367940734E-020 
          40          77  8.428397969841954E-006 2.203806877029470E-020 
          40          78  3.711458913681059E-005 -8.985161902952244E-022 
          40          79  -1.051938015371227E-005 -8.219853026902450E-021 
          40          80  -8.948865540314817E-006 3.740764119078703E-021 
          40          81  -7.810364848605756E-006 -3.097361936499004E-021 
          40          82  -7.510180768670161E-006 -4.139190526944539E-021 
          40          83  -8.607084602661520E-006 5.132959684859769E-022 
          40          84  -1.060230198056525E-005 -6.224681545753556E-021 
          40          85  1.586720087465270E-006 1.054368253362955E-021 
          40          86  2.951239006797831E-006 6.893862325151752E-022 
          40          87  3.674348892570176E-006 2.055316326225233E-021 
          40          88  2.921005944961223E-006 -4.705143209189123E-022 
          40          89  1.518419002652820E-006 4.849124465778086E-022 
          40          90  3.703894248751485E-006 1.605703748444366E-021 
          40          91  -5.393537418648170E-007 4.316934313064613E-024 
          40          92  -1.252270711639121E-006 -7.516005255829589E-022 
          40          93  -1.264147418408975E-006 -2.086847523750991E-022 
          40          94  -5.563625790717391E-007 1.175072828235587E-022 
          40          95  -1.197064541159573E-006 1.260558919263660E-022 
          40          96  -1.275252466380172E-006 8.526797662925682E-023 
          40          97  1.502427638321225E-007 1.362526662759659E-023 
          40          98  4.046568413743667E-007 1.110401829958102E-022 
          40          99  1.556522175639960E-007 -7.764046171428460E-023 
