Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 1200 M2= 6000
    12     2    0.91963736   62.32144670
    12     3    0.91966996   63.24111666
    12     4    0.91968141   64.16079807
    12     5    0.91966045   65.08045852
    12     6    0.91961669   66.00007521
    13     1    0.91961785   66.91969306
    13     2    0.91966205   67.83935510
    13     3    0.91968454   68.75903964
    13     4    0.91967411   69.67871375
    13     5    0.91963459   70.59834834
    13     6    0.91960658   71.51795492
    14     1    0.90883655   72.42679147
    14     2    0.90887825   73.33566972
    14     3    0.90890075   74.24457047
    14     4    0.90889004   75.15346052
    14     5    0.90885584   76.06231636
    14     6    0.90883005   76.97114641
    15     1    0.90979112   77.88093752
    15     2    0.90982142   78.79075894
    15     3    0.90985684   79.70061578
    15     4    0.90987224   80.61048801
    15     5    0.90985283   81.52034084
    15     6    0.90981513   82.43015597
    16     1    0.92083529   83.35099126
    16     2    0.92086431   84.27185557
    16     3    0.92089777   85.19275335
    16     4    0.92091158   86.11366493
    16     5    0.92089336   87.03455828
    16     6    0.92085636   87.95541464
    17     1    0.91872497   88.87413962
    17     2    0.91876558   89.79290520
    17     3    0.91878405   90.71168925
    17     4    0.91877097   91.63046022
    17     5    0.91873869   92.54919890
    17     6    0.91871356   93.46791246
    18     1    0.90693922   94.37485168
    18     2    0.90697504   95.28182673
    18     3    0.90699661   96.18882333
    18     4    0.90698814   97.09581147
    18     5    0.90695819   98.00276966
    18     6    0.90693357   98.90970323
    19     1    0.91068616   99.82038939
    19     2    0.91070227  100.73109166
    19     3    0.91073839  101.64183005
    19     4    0.91076236  102.55259241
    19     5    0.91075277  103.46334518
    19     6    0.91071821  104.37406338
    20     1    0.92571136  105.29977474
    20     2    0.92572145  106.22549619
    20     3    0.92574833  107.15124453
    20     4    0.92576939  108.07701392
    20     5    0.92576951  109.00278343
    20     6    0.92573796  109.92852138
    21     1    0.92274044  110.85126182
    21     2    0.92275513  111.77401695
    21     3    0.92275553  112.69677248
    21     4    0.92274628  113.61951875
    21     5    0.92274118  114.54225993
    21     6    0.92272731  115.46498725
    22     1    0.90537921  116.37036645
    22     2    0.90538262  117.27574907
    22     3    0.90538991  118.18113898
    22     4    0.90539169  119.08653067
    22     5    0.90539077  119.99192145
    22     6    0.90537179  120.89729323
    23     1    0.90717023  121.80446346
    23     2    0.90717962  122.71164308
    23     3    0.90720526  123.61884833
    23     4    0.90722013  124.52606846
    23     5    0.90721562  125.43328408
    23     6    0.90718165  126.34046573
    24     1    0.94324421  127.28370994
    24     2    0.94325235  128.22696229
    24     3    0.94326522  129.17022752
    24     4    0.94326840  130.11349592
    24     5    0.94325997  131.05675588
    24     6    0.94324412  132.00000000
 
 Nx=          24 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       12000
     1     1    0.94329609    0.94329609
     1     2    0.94330663    1.88660272
     1     3    0.94331233    2.82991504
     1     4    0.94331016    3.77322521
     1     5    0.94330129    4.71652650
     1     6    0.94329582    5.65982232
     2     1    0.90729674    6.56711906
     2     2    0.90732142    7.47444048
     2     3    0.90732410    8.38176459
     2     4    0.90731321    9.28907779
     2     5    0.90729557   10.19637336
     2     6    0.90728955   11.10366291
     3     1    0.90546267   12.00912558
     3     2    0.90547743   12.91460301
     3     3    0.90547804   13.82008104
     3     4    0.90547603   14.72555708
     3     5    0.90547016   15.63102723
     3     6    0.90546769   16.53649492
     4     1    0.92260027   17.45909519
     4     2    0.92261262   18.38170781
