Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= ****
          39         108  1.637476878335693E-005 1.025776009137556E-022 
          40          37  9.287546039060290E-004 2.324116481659111E-018 
          40          38  5.428405923403667E-004 2.559392511544709E-018 
          40          39  -7.519285038435977E-002 -6.894208535691549E-018 
          40          40  0.421359520947277 -6.435162963171599E-017 
          40          41  -5.791159465689601E-002 9.787919686376984E-018 
          40          42  4.378520912473692E-004 -4.513442078225156E-019 
          40          43  -4.698607408019380E-003 -1.009263981680664E-018 
          40          44  2.402492325539518E-003 -1.124055875637229E-018 
          40          45  -8.022011062625314E-002 3.153182123948499E-019 
          40          46  -7.525457205264185E-002 1.699069586360613E-017 
          40          47  2.140325309266679E-003 3.092568873163148E-019 
          40          48  -4.011655908031968E-003 -3.682360629661362E-019 
          40          49  -2.287426022164971E-003 -3.191409442552920E-019 
          40          50  1.203961463669144E-004 -7.762928284620619E-019 
          40          51  2.718900337741065E-003 -2.788415009600797E-019 
          40          52  -1.750142534000527E-004 1.008422722662355E-019 
          40          53  -7.307251043472038E-004 -4.003418585239083E-019 
          40          54  -2.136818723079478E-003 -1.141109787394312E-019 
          40          55  3.483796176084669E-004 -1.874350868596590E-019 
          40          56  -3.954510742854776E-003 1.082211237671519E-018 
          40          57  -4.792777760619934E-003 -1.362728224707611E-018 
          40          58  3.360722284545176E-004 2.203522906724184E-019 
          40          59  -1.171431765029858E-003 1.055170894597868E-019 
          40          60  -2.007786645192355E-003 -1.251827995593168E-019 
          40          61  -4.696481417966032E-004 5.946355787086786E-020 
          40          62  -2.182378351811448E-003 -1.368827105405885E-019 
          40          63  -7.008582387867098E-004 4.983185138429049E-019 
          40          64  -7.348438117110190E-004 4.925808209066494E-019 
          40          65  -2.039301051406583E-004 9.888878489400727E-020 
          40          66  -8.388892879615557E-004 -2.736169491756630E-019 
          40          67  -5.018966104679838E-004 4.614084388142374E-019 
          40          68  -9.129758753544793E-004 2.451127128847399E-019 
          40          69  -4.476098127592520E-004 -2.183152855193940E-020 
          40          70  -1.422399716601682E-003 2.910472713016548E-019 
          40          71  -1.443409243528829E-003 -5.086369230685449E-019 
          40          72  -5.612366892751053E-004 2.221667164904980E-019 
          40          73  -1.035356498049034E-004 1.058536176113919E-019 
          40          74  -4.092064996005189E-004 -9.876046488365143E-020 
          40          75  -3.479199830359241E-004 -7.545519230164529E-020 
          40          76  -1.320287683733280E-003 -6.856733782384879E-021 
          40          77  -6.142424220909025E-004 1.394506979946605E-019 
          40          78  -4.926765847057108E-004 2.843519639645495E-019 
          40          79  -4.347646028983571E-004 -1.207396114178895E-020 
          40          80  -1.987009614156324E-004 3.926287628337237E-020 
          40          81  -1.410025213205672E-004 2.192219176069679E-020 
          40          82  -2.376610096115040E-004 -3.251343152677672E-020 
          40          83  -8.410450663151780E-005 -2.583428666168755E-020 
          40          84  -4.709592282629594E-004 8.385739060263571E-020 
          40          85  -2.345117143348141E-004 5.937498955786972E-020 
          40          86  -1.745708035825948E-004 1.016949653375993E-019 
          40          87  -4.476313123238383E-005 2.240756787481505E-020 
          40          88  -8.380468453303408E-005 2.602297991259483E-020 
          40          89  -1.149749245407749E-004 -1.476422299838048E-020 
          40          90  -4.032612750494223E-004 3.265567499888315E-020 
          40          91  2.441251735917777E-007 -7.520941254797538E-021 
          40          92  -4.860960393891607E-005 1.201252494394728E-020 
          40          93  -3.531882910493040E-005 2.688408692679974E-021 
          40          94  -2.738920140162876E-005 2.008227178331769E-020 
          40          95  -1.767622456202562E-005 -4.627920200520528E-020 
          40          96  -1.227183262493340E-005 1.892004250610312E-019 
          40          97  1.727638082441658E-006 -7.076728629054310E-020 
          40          98  -1.928264010390786E-005 6.790480938145424E-020 
          40          99  -2.185434054177578E-005 -1.285262220446715E-019 
          40         100  -9.030324082364884E-006 -1.629909537834049E-020 
          40         101  5.956128913071020E-006 -1.446552455020463E-020 
          40         102  1.700287036067609E-005 1.063331932397676E-020 
          40         103  1.638642665995577E-005 1.004426589788962E-020 
          40         104  1.873883151517154E-005 8.128973987738926E-021 
          40         105  1.212316388784044E-005 1.732903875727106E-020 
          40         106  1.444544476670130E-005 1.641361159613046E-020 
          40         107  1.552360403680406E-005 8.896412737500381E-021 
          40         108  1.792979629393466E-005 2.881104845799876E-020 
          41          37  -1.032847522564970E-003 1.996357029345829E-018 
          41          38  1.236590348324913E-003 6.308977866160677E-019 
          41          39  -9.118520791202548E-004 3.402853759638995E-019 
          41          40  -5.791159465689601E-002 9.787919686376984E-018 
          41          41  0.420819498153471 2.505765937390563E-017 
          41          42  -7.056218114073691E-002 5.956523909947459E-019 
          41          43  -2.160206579617506E-003 8.237888132533285E-020 
          41          44  -6.273577899617817E-004 -1.881219369104230E-018 
          41          45  2.964089079734199E-003 1.637830082770165E-019 
          41          46  -5.926150311605544E-002 6.238740418151739E-018 
          41          47  -6.274926531333296E-002 4.291044793403725E-018 
          41          48  3.701356719385692E-003 -9.249281603983874E-019 
          41          49  -3.466802786208148E-003 6.571018909749070E-019 
          41          50  -6.997899192038713E-004 1.531186501706562E-018 
          41          51  -2.090773028707121E-003 -7.853399569676757E-019 
          41          52  1.858773675619674E-003 -9.649722307553424E-019 
