 Nx=          24 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       12000
    33     2    0.92436744  178.19410458
    33     3    0.92437047  179.11847505
    33     4    0.92437902  180.04285407
    33     5    0.92439224  180.96724631
    33     6    0.92436612  181.89161243
    34     1    0.90605982  182.79767225
    34     2    0.90604162  183.70371387
    34     3    0.90603872  184.60975259
    34     4    0.90605296  185.51580555
    34     5    0.90606782  186.42187337
    34     6    0.90605421  187.32792759
    35     1    0.90045224  188.22837983
    35     2    0.90045632  189.12883615
    35     3    0.90046855  190.02930469
    35     4    0.90048229  190.92978698
    35     5    0.90049174  191.83027872
    35     6    0.90046524  192.73074396
    36     1    0.87820101  193.60894497
    36     2    0.87820528  194.48715026
    36     3    0.87821589  195.36536615
    36     4    0.87821813  196.24358428
    36     5    0.87821541  197.12179969
    36     6    0.87820031  198.00000000
 
 Nx=          48 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         264 N_down=           0 M1=        3600 
 M2=       14000
     1     1    0.87773478    0.87773478
     1     2    0.87774921    1.75548399
     1     3    0.87775175    2.63323574
     1     4    0.87774955    3.51098529
     1     5    0.87773950    4.38872480
     1     6    0.87773570    5.26646050
     2     1    0.90007146    6.16653196
     2     2    0.90009735    7.06662931
     2     3    0.90008781    7.96671712
     2     4    0.90007439    8.86679152
     2     5    0.90006278    9.76685429
     2     6    0.90005924   10.66691353
     3     1    0.90555286   11.57246639
     3     2    0.90556654   12.47803293
     3     3    0.90555134   13.38358428
     3     4    0.90553737   14.28912164
     3     5    0.90554065   15.19466230
     3     6    0.90555845   16.10022075
     4     1    0.92383347   17.02405422
     4     2    0.92385963   17.94791385
     4     3    0.92384639   18.87176023
     4     4    0.92383775   19.79559798
     4     5    0.92383457   20.71943255
     4     6    0.92382084   21.64325339
     5     1    0.92321080   22.56646418
     5     2    0.92324680   23.48971098
     5     3    0.92325474   24.41296572
     5     4    0.92326585   25.33623157
     5     5    0.92326902   26.25950059
     5     6    0.92323121   27.18273180
     6     1    0.92403801   28.10676981
     6     2    0.92407784   29.03084765
     6     3    0.92407216   29.95491981
     6     4    0.92405982   30.87897962
     6     5    0.92404653   31.80302616
     6     6    0.92402327   32.72704943
     7     1    0.91910261   33.64615204
     7     2    0.91914279   34.56529483
     7     3    0.91913734   35.48443217
     7     4    0.91912705   36.40355922
     7     5    0.91912131   37.32268053
     7     6    0.91909438   38.24177491
     8     1    0.91692583   39.15870074
     8     2    0.91695873   40.07565947
     8     3    0.91695671   40.99261618
     8     4    0.91695633   41.90957252
     8     5    0.91695803   42.82653054
     8     6    0.91692248   43.74345302
     9     1    0.91949480   44.66294782
     9     2    0.91952482   45.58247264
     9     3    0.91952773   46.50200037
     9     4    0.91953437   47.42153474
     9     5    0.91953891   48.34107365
     9     6    0.91949692   49.26057058
    10     1    0.92160042   50.18217100
    10     2    0.92163587   51.10380687
    10     3    0.92163525   52.02544212
    10     4    0.92163491   52.94707703
    10     5    0.92163447   53.86871149
    10     6    0.92159679   54.79030828
    11     1    0.91983267   55.71014095
    11     2    0.91986988   56.63001083
    11     3    0.91986449   57.54987531
    11     4    0.91985904   58.46973435
    11     5    0.91985805   59.38959240
    11     6    0.91982629   60.30941869
    12     1    0.91774689   61.22716557
    12     2    0.91778008   62.14494565
    12     3    0.91777604   63.06272169
    12     4    0.91777497   63.98049667
    12     5    0.91777771   64.89827438
    12     6    0.91774374   65.81601812
    13     1    0.91908471   66.73510283
    13     2    0.91911517   67.65421799
    13     3    0.91911534   68.57333333
    13     4    0.91911944   69.49245277
    13     5    0.91912405   70.41157681
    13     6    0.91908504   71.33066185
    14     1    0.92111726   72.25177911
    14     2    0.92115073   73.17292984
    14     3    0.92115049   74.09408033
    14     4    0.92115154   75.01523187
    14     5    0.92115372   75.93638559
    14     6    0.92111500   76.85750059
    15     1    0.92000976   77.77751035
    15     2    0.92004625   78.69755660
    15     3    0.92004223   79.61759883
    15     4    0.92003886   80.53763769
    15     5    0.92003948   81.45767718
    15     6    0.92000460   82.37768178
    16     1    0.91787903   83.29556081
    16     2    0.91791308   84.21347389
    16     3    0.91790952   85.13138341
    16     4    0.91790865   86.04929206
    16     5    0.91791141   86.96720347
    16     6    0.91787573   87.88507920
    17     1    0.91867036   88.80374956
    17     2    0.91870155   89.72245111
    17     3    0.91870131   90.64115242
    17     4    0.91870511   91.55985753
    17     5    0.91870982   92.47856735
    17     6    0.91867036   93.39723771
    18     1    0.92077444   94.31801214
    18     2    0.92080740   95.23881955
    18     3    0.92080784   96.15962739
    18     4    0.92080988   97.08043726
    18     5    0.92081311   98.00125037
    18     6    0.92077354   98.92202390
    19     1    0.92016032   99.84218423
    19     2    0.92019676  100.76238099
    19     3    0.92019357  101.68257456
    19     4    0.92019143  102.60276599
    19     5    0.92019221  103.52295820
    19     6    0.92015614  104.44311435
    20     1    0.91796388  105.36107823
    20     2    0.91799906  106.27907729
    20     3    0.91799567  107.19707296
    20     4    0.91799462  108.11506758
    20     5    0.91799747  109.03306504
    20     6    0.91796091  109.95102595
    21     1    0.91829330  110.86931926
    21     2    0.91832501  111.78764427
    21     3    0.91832477  112.70596904
    21     4    0.91832810  113.62429714
    21     5    0.91833229  114.54262944
    21     6    0.91829304  115.46092248
    22     1    0.92045732  116.38137980
    22     2    0.92048993  117.30186973
    22     3    0.92049048  118.22236021
    22     4    0.92049337  119.14285358
